id,document,sentence,dates,assigned_to,status,risk
1,Employee Handbook.txt,"Employee Handbook
Employees are required to maintain confidentiality of internal data.",2025-10-30,,Open,Medium
2,Employee Handbook.txt,All leave requests must be submitted through the HR portal.,2025-11-04,,Open,Medium
3,Employee Handbook.txt,The organization shall review wage policies every financial year.,2025-11-04,,Open,Medium
4,Safety Policy.txt,"Safety Policy
Every employee must wear safety equipment in designated zones.",,,Open,Medium
5,Safety Policy.txt,All safety training shall be completed by March 2025.,2025-03-04,,Open,Medium
6,Safety Policy.txt,Supervisors are required to ensure compliance with OSHA standards.,2025-10-30,,Open,Medium
7,Safety Policy.txt,Accidents must be reported immediately to the safety committee.,2025-10-30,,Open,Medium
8,Data Privacy Policy.txt,All personal data must be stored securely and processed lawfully.,2025-11-03,,Open,Medium
9,Data Privacy Policy.txt,Employees shall ensure that personal information is deleted after the retention period.,,,Open,Medium
10,Data Privacy Policy.txt,All data protection incidents must be reported to the compliance officer within 24 hours.,2025-11-03,,Open,Medium
11,sample_policy.pdf,"if you have questions or
concerns regarding this statement, you should first contact support@yola.com.",2025-10-31,,Open,Low
12,sample_policy.pdf,"if
you do not receive acknowledgement of your inquiry or your inquiry has not been
satisfactorily addressed, you should contact truste.",2025-11-02,,Open,Low
13,sample_policy.pdf,"if
you are concerned about how your personal information is used, you should
subscribe to our blog rss feed at http://www.yola.com/blog or e-mail us at
support@yola.com.",2025-10-30,,Open,Low
14,sample_policy.pdf,"if you visit a third
party website that is linked to from a yola site, you should read that website's
privacy statement before providing any personally identifiable information.",,,Open,Low
15,sample_policy.pdf,"to receive a free written notice of a security breach, you should
notify us at support@yola.com.",2025-10-30,,Open,Low
